dataset,accuracy,time_transform_training_seconds,time_transform_test_seconds,time_fit_classifier_seconds,time_predict_seconds
ACSF1,0.807667,0.528091,0.321386,2.545836,0.055514
AconityMINIPrinterLargeEq,0.943384,1.158263,0.599545,11.533608,0.092284
AconityMINIPrinterSmallEq,0.975799,0.360638,0.203948,2.048275,0.034278
Adiac,0.812788,0.606432,0.150957,2.349633,0.068938
AllGestureWiimoteXEq,0.675143,0.334834,0.619843,3.48298,0.059139
AllGestureWiimoteYEq,0.706191,0.344085,0.612253,3.69763,0.074494
AllGestureWiimoteZEq,0.662619,0.348078,0.611016,3.516338,0.070838
ArrowHead,0.829143,0.53507,0.126421,0.267749,0.016772
AsphaltObstaclesUniEq,0.841006,0.586104,0.562249,3.828797,0.054787
AsphaltPavementTypeUniEq,0.937532,5.02326,4.823842,27.439358,0.103285
AsphaltRegularityUniEq,0.988815,6.756532,6.516676,16.787375,0.097912
BME,1.0,0.539191,0.089073,0.204904,0.019575
Beef,0.785556,0.993913,0.09279,0.381844,0.014448
BeetleFly,0.878333,0.464663,0.087903,0.275082,0.014905
BirdChicken,0.948333,0.454177,0.085859,0.22713,0.015825
CBF,0.988185,0.580358,0.21836,0.181059,0.028849
Car,0.877222,0.629986,0.121435,0.537223,0.015015
Chinatown,0.975219,0.412953,0.023045,0.237027,0.025629
ChlorineConcentration,0.744679,1.230863,0.876661,2.180746,0.218446
CinCECGTorso,0.977754,0.284399,3.89845,0.643546,0.075419
Coffee,1.0,0.594236,0.078859,0.206055,0.014345
Colposcopy,0.419802,0.353113,0.093225,0.608688,0.017124
Computers,0.839333,0.655134,0.26008,2.147473,0.047166
Covid3MonthDiscrete,0.805238,0.292388,0.066564,0.314722,0.017102
CricketX,0.766325,1.445279,0.242809,3.19036,0.071472
CricketY,0.781026,0.94608,0.244545,3.177159,0.07572
CricketZ,0.784957,1.489002,0.244827,3.21575,0.056681
Crop,0.776071,0.398093,0.760517,11.596269,1.025477
DiatomSizeReduction,0.91939,0.511063,0.214253,0.20478,0.02003
DistalPhalanxOutlineAgeGroup,0.818705,0.729394,0.065829,0.659897,0.017548
DistalPhalanxOutlineCorrect,0.832126,0.587754,0.082099,1.018793,0.022635
DistalPhalanxTW,0.70024,0.540849,0.063439,0.699463,0.018407
DodgerLoopDayNmv,0.600433,0.313192,0.102466,0.550457,0.016608
DodgerLoopGameNmv,0.839108,0.286409,0.130563,0.187864,0.015219
DodgerLoopWeekendNmv,0.984921,0.343158,0.133419,0.166496,0.014647
ECG200,0.869,0.511738,0.066355,0.289065,0.015958
ECG5000,0.945504,0.725708,0.859634,0.767012,0.140782
ECGFiveDays,0.981223,0.494245,0.216487,0.161211,0.025959
EOGHorizontalSignal,0.837477,1.350006,0.823533,8.146392,0.077884
EOGVerticalSignal,0.787753,0.835015,0.822492,9.74135,0.083244
Earthquakes,0.752518,0.531558,0.149799,2.046648,0.06987
ElectricDeviceDetection,0.901928,0.218512,0.91614,1.555604,0.160875
ElectricDevices,0.877301,0.94754,0.785583,19.967944,0.492808
EthanolLevel,0.826667,1.572851,1.486983,15.307573,0.141367
FaceAll,0.952919,0.494815,0.346157,1.772857,0.12246
FaceFour,0.909091,0.654826,0.117421,0.236336,0.014999
FacesUCR,0.899236,0.470239,0.411348,0.742904,0.090687
FiftyWords,0.77641,0.468338,0.221323,4.50767,0.080228
Fish,0.941905,0.618459,0.181106,1.369073,0.027437
FloodModeling1Discrete,0.96518,0.301894,0.20488,1.12924,0.024917
FloodModeling2Discrete,0.987267,0.266394,0.202175,0.73403,0.022653
FloodModeling3Discrete,0.964569,0.306773,0.194414,1.029438,0.023642
FordA,0.969015,2.7604,1.003506,26.51762,0.162434
FordB,0.916008,3.151046,0.636778,29.976076,0.171833
FreezerRegularTrain,0.999474,0.191661,1.325786,0.299297,0.071933
FreezerSmallTrain,0.998362,0.090629,1.325747,0.188148,0.05978
GestureMidAirD1Eq,0.708974,0.322252,0.137575,2.30664,0.036065
GestureMidAirD2Eq,0.605385,0.27036,0.136571,2.346484,0.029242
GestureMidAirD3Eq,0.459487,0.33616,0.139915,2.672857,0.031525
GesturePebbleZ1Eq,0.943217,0.312496,0.195739,0.80998,0.018444
GesturePebbleZ2Eq,0.951055,0.324089,0.184663,0.89386,0.018468
GunPoint,0.993778,0.515582,0.092482,0.214236,0.015446
GunPointAgeSpan,0.99251,0.460132,0.129801,0.294066,0.01876
GunPointMaleVersusFemale,0.998523,0.523492,0.1255,0.255698,0.017728
GunPointOldVersusYoung,1.0,0.408202,0.12604,0.206684,0.018258
Ham,0.809841,0.61436,0.138733,0.6712,0.016233
HandOutlines,0.91937,4.862718,1.772537,46.949046,0.276737
Haptics,0.512771,0.504512,0.592885,3.477379,0.056516
Herring,0.614062,0.456118,0.118877,0.515011,0.019857
HouseTwenty,0.969748,0.560248,0.507562,0.514169,0.021255
InlineSkate,0.581515,0.434986,1.921315,3.920224,0.13414
InsectEPGRegularTrain,1.0,0.561763,0.316845,0.273026,0.017573
InsectEPGSmallTrain,1.0,0.940081,0.321666,0.215845,0.017563
InsectWingbeatSound,0.658704,0.249341,0.704779,1.400196,0.134299
ItalyPowerDemand,0.962812,0.921229,0.036646,0.250204,0.036672
KeplerLightCurves,0.948204,9.276309,3.946975,60.770865,0.099614
LargeKitchenAppliances,0.877067,1.269643,0.321398,3.402076,0.077374
Lightning2,0.784153,0.535235,0.133783,0.478876,0.014798
Lightning7,0.742922,0.471555,0.102953,0.562718,0.015955
Mallat,0.965316,0.292938,3.258213,0.824638,0.124023
Meat,0.985,0.563575,0.104932,0.332648,0.014286
MedicalImages,0.811579,0.534776,0.149647,1.020861,0.049854
MelbournePedestrianNmv,0.970548,0.273772,0.064732,0.564453,0.06761
MiddlePhalanxOutlineAgeGroup,0.701515,0.929479,0.072706,0.728725,0.018566
MiddlePhalanxOutlineCorrect,0.827377,0.451645,0.084881,1.051182,0.023191
MiddlePhalanxTW,0.59329,0.529805,0.065816,0.951727,0.020208
MixedShapesRegularTrain,0.965182,0.924971,3.719399,4.833458,0.151496
MixedShapesSmallTrain,0.928687,0.294432,3.730543,1.09724,0.104674
MoteStrain,0.924334,0.434123,0.192569,0.156319,0.030865
NonInvasiveFetalECGThorax1,0.935505,2.197639,2.245169,30.754296,0.273233
NonInvasiveFetalECGThorax2,0.953656,2.422427,2.228236,27.68749,0.273573
OSULeaf,0.880992,0.530584,0.223138,1.318036,0.034351
OliveOil,0.913333,0.504805,0.090883,0.316538,0.013854
PLAIDEq,0.916325,1.437746,1.415129,13.880139,0.105527
PhalangesOutlinesCorrect,0.847708,0.493778,0.129501,3.320456,0.075266
PhoneHeartbeatSound,0.665568,2.645158,1.150867,27.633037,0.080969
Phoneme,0.372205,0.565455,3.251057,8.623455,0.217188
PickupGestureWiimoteZEq,0.822,0.355258,0.098078,0.518259,0.015145
PigAirwayPressure,0.454487,0.593905,0.833405,9.552378,0.07475
PigArtPressure,0.882692,0.52397,0.814897,9.579242,0.08858
PigCVP,0.635897,1.447607,0.850459,9.590156,0.11338
Plane,0.999683,0.497144,0.080775,0.309059,0.015724
PowerCons,0.991111,0.415636,0.104175,0.341553,0.015856
ProximalPhalanxOutlineAgeGroup,0.851219,1.016434,0.075692,0.646481,0.01912
ProximalPhalanxOutlineCorrect,0.897824,0.536142,0.080564,0.920272,0.022608
ProximalPhalanxTW,0.817398,0.485003,0.070813,0.693424,0.020411
RefrigerationDevices,0.747733,0.4538,0.410169,4.263235,0.068093
Rock,0.805333,0.466929,0.347784,0.782812,0.020324
ScreenType,0.678933,0.615823,0.345196,4.530743,0.084822
SemgHandGenderCh2,0.956833,0.938828,1.74698,4.975803,0.096624
SemgHandMovementCh2,0.857481,2.329048,1.349898,11.976115,0.255288
SemgHandSubjectCh2,0.924222,1.384419,1.345382,11.236962,0.079268
ShakeGestureWiimoteZEq,0.855333,0.327011,0.101547,0.480597,0.015041
ShapeletSim,0.984074,0.487618,0.22119,0.227023,0.01698
ShapesAll,0.887944,0.596342,0.501412,10.369778,0.127991
SharePriceIncrease,0.690131,0.313803,0.124164,1.528999,0.056661
SmallKitchenAppliances,0.839467,1.26359,0.307233,3.169726,0.064581
SmoothSubspace,0.986889,0.47081,0.012518,0.267407,0.022258
SonyAIBORobotSurface1,0.901941,0.460799,0.109607,0.170624,0.025503
SonyAIBORobotSurface2,0.92396,0.58443,0.12503,0.173775,0.02727
StarLightCurves,0.980723,1.500188,11.311156,9.595272,0.330387
Strawberry,0.975405,1.359742,0.17559,1.383828,0.034291
SwedishLeaf,0.957653,0.833468,0.157145,1.282555,0.05598
Symbols,0.952797,0.581188,0.590259,0.276218,0.038045
SyntheticControl,0.993667,0.435506,0.069907,0.404676,0.020453
ToeSegmentation1,0.856579,0.550962,0.162759,0.255536,0.018102
ToeSegmentation2,0.881026,0.495423,0.137796,0.288385,0.016075
Tools,0.80796,1.705974,0.777817,14.633382,0.062721
Trace,1.0,0.593181,0.111214,0.333654,0.015004
TwoLeadECG,0.987152,0.577277,0.172596,0.156579,0.02782
TwoPatterns,0.999792,0.312937,0.65748,1.660123,0.167721
UMD,0.970371,0.46383,0.097613,0.217911,0.018707
UWaveGestureLibraryAll,0.968221,1.596628,4.776444,12.631784,0.257683
UWaveGestureLibraryX,0.852047,0.441199,1.430826,5.386708,0.255848
UWaveGestureLibraryY,0.778094,0.513957,1.424615,5.70778,0.223384
UWaveGestureLibraryZ,0.790629,0.429166,1.453369,5.629442,0.236189
Wafer,0.999768,0.702781,1.14687,0.781728,0.110287
Wine,0.885185,0.463347,0.079078,0.300824,0.014643
WordSynonyms,0.703553,0.48805,0.288679,2.4031,0.07677
Worms,0.750217,0.570616,0.186112,2.65763,0.039565
WormsTwoClass,0.808658,0.525807,0.186596,1.965752,0.051003
Yoga,0.895689,0.28846,1.796993,1.798734,0.156007
